trip_date,trips,revenue,avg_distance_miles,avg_total
2026-05-01,136444,4178615.63,3.29,30.63
2026-05-02,133515,3784160.98,3.19,28.34
2026-05-03,119661,3719511.24,3.81,31.08
2026-05-04,104564,3302195.23,3.74,31.58
2026-05-05,127191,3866619.3,3.28,30.4
2026-05-06,136673,4244900.28,3.23,31.06
2026-05-07,135774,4240658.76,3.32,31.23
2026-05-08,133049,4053214.01,3.24,30.46
2026-05-09,131466,3619719.72,3.14,27.53
2026-05-10,119662,3616568.41,3.81,30.22
2026-05-11,121419,3784604.02,3.66,31.17
2026-05-12,139116,4324862.72,3.27,31.09
2026-05-13,146716,4697445.3,3.27,32.02
2026-05-14,160774,5194514.08,3.32,32.31
2026-05-15,153335,4850121.32,3.31,31.63
2026-05-16,152732,4585196.37,3.37,30.02
2026-05-17,130129,4129602.98,3.89,31.73
2026-05-18,122767,3936969.34,3.62,32.07
2026-05-19,142493,4556284.6,3.19,31.98
2026-05-20,152876,4972706.44,3.14,32.53
2026-05-21,143596,4661269.84,3.38,32.46
2026-05-22,117319,3522039.05,3.52,30.02
2026-05-23,114518,3198448.72,3.37,27.93
2026-05-24,94143,2649036.95,3.74,28.14
2026-05-25,77100,2461442.29,4.12,31.93
2026-05-26,113711,3493867.35,3.56,30.73
2026-05-27,127319,3852261.02,3.3,30.26
2026-05-28,140126,4373476.75,3.32,31.21
2026-05-29,136774,4142055.11,3.32,30.28
2026-05-30,140177,3961176.65,3.31,28.26
2026-05-31,118679,3705176.22,3.98,31.22
